N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
139,見合わせる,みあわせる,2.216,문학,2.42,N1,문학12회/5문서(z+2.22) 논설·행정15회/8문서(z+1.86); 일반빈도낮음→장르부상
140,解剖,かいぼう,2.215,학술,3.78,N1,학술147회/12문서(z+2.22) 논설·행정6회/2문서(z-0.88); 일반빈도낮음→장르부상
141,河川,かせん,2.212,논설·행정,3.66,N1,논설·행정439회/23문서(z+2.21) 학술3회/3문서(z-0.45); 일반빈도낮음→장르부상
142,伴う,ともなう,2.208,행정백서,4.22,N1,행정백서289회/48문서(z+2.21) 논설·행정1237회/24문서(z+2.04) 학술142회/69문서(z+1.44) 법률117회/12문서(z+0.95) 문학6회/3문서(z-1.38)
143,迅速,じんそく,2.208,논설·행정,3.9,N1,논설·행정759회/24문서(z+2.21) 행정백서14회/10문서(z+0.46) 법률15회/5문서(z+0.07) 학술6회/6문서(z-0.35); 일반빈도낮음→장르부상
144,近付く,ちかづく,2.208,논설·행정,3.04,N1,논설·행정105회/20문서(z+2.21) 학술15회/13문서(z+1.79) 문학21회/6문서(z+1.57) 행정백서6회/6문서(z+1.32); 일반빈도낮음→장르부상
145,審判,しんぱん,2.203,법률,3.97,N1,법률428회/10문서(z+2.20) 논설·행정57회/15문서(z+0.35) 학술5회/4문서(z-0.60); 일반빈도낮음→장르부상
146,財,ざい,2.202,행정백서,3.86,N1,행정백서125회/20문서(z+2.20) 학술24회/8문서(z+0.74) 논설·행정25회/15문서(z-0.04); 일반빈도낮음→장르부상
147,収益,しゅうえき,2.201,행정백서,4.01,N1,행정백서176회/30문서(z+2.20) 논설·행정499회/24문서(z+1.76) 법률64회/6문서(z+0.87) 학술11회/5문서(z-0.08)
148,防衛,ぼうえい,2.201,논설·행정,4.59,N1,논설·행정3678회/24문서(z+2.20) 학술16회/7문서(z-0.79) 법률9회/4문서(z-1.34)
149,早急,さっきゅう,2.2,논설·행정,3.68,N1,논설·행정452회/24문서(z+2.20) 행정백서3회/3문서(z-0.33) 학술3회/3문서(z-0.48); 일반빈도낮음→장르부상
150,強いる,しいる,2.199,논설·행정,3.09,N1,논설·행정116회/21문서(z+2.20) 문학9회/2문서(z+0.86) 행정백서3회/3문서(z+0.71) 학술3회/3문서(z+0.52); 일반빈도낮음→장르부상
151,化合,かごう,2.192,학술,3.62,N1,학술103회/9문서(z+2.19) 행정백서5회/4문서(z+0.13) 논설·행정3회/3문서(z-1.13); 일반빈도낮음→장르부상
152,情勢,じょうせい,2.192,논설·행정,3.91,N1,논설·행정759회/24문서(z+2.19) 행정백서20회/10문서(z+0.71) 학술10회/7문서(z+0.01) 법률9회/7문서(z-0.29); 일반빈도낮음→장르부상
153,跨ぐ,またぐ,2.192,논설·행정,2.42,N1,논설·행정49회/18문서(z+2.19) 학술4회/4문서(z+1.36) 문학5회/3문서(z+1.05); 일반빈도낮음→장르부상
154,据える,すえる,2.191,논설·행정,2.96,N1,논설·행정85회/19문서(z+2.19) 문학14회/4문서(z+1.41) 학술6회/5문서(z+1.25); 일반빈도낮음→장르부상
